idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
1,Seaport,"BNSF, UP via OYLO","OYLO,UP",302786.0,"OYLO,UP",,0.08,Y,,302793,0.07,{'UP'},47.05097439800005,-122.90101927599994
2,Port Westward Industrial Park,BNSF via PNWR,PNWR,301368.0,PNWR,,0.1,,Y,301368,0.1,{'PNWR'},46.170894591000035,-123.16017879999998
3,Terminal,UP via VCRR,VCRR,318637.0,VCRR,,0.17,,Y,318637,0.17,{'VCRR'},34.14666136300008,-119.20348742899995
4,General Cargo Dock,UP via PCN,PCN,363289.0,PCN,,0.06,,Y,363289,0.06,{'PCN'},28.646038005000037,-96.55268145599996
5,Container Terminal,"CN, CSX, CPKC, ALE, CGR, TASD","CN,TASD,CSXT",410839.0,"CN,TASD,CSXT",,0.25,,,410827,0.13,"{'TASD', 'CSXT'}",30.665744860000075,-88.04145458499994
6,Main Docks/General Cargo,"BNSF, CN, CSX, CPKC, NS, AGR, ALE, CGR, TASD","CN, CSXT, NS",,,,,Y,,410808,0.03,"{'AGR', 'TASD', 'CSXT', 'AMTK'}",30.704964,-88.043864
7,Intermodal Container Transfer Facility (ICTF),TASD,"CN,TASD,CSXT",410695.0,"CN,TASD,CSXT,AMTK",,0.6,,,410546,0.42,"{'CSXT', 'AMTK'}",30.66623145500006,-88.04933028899995
8,West Terminal,"CSX, NS via BAYL",BAYL,426536.0,BAYL,,0.04,,Y,426536,0.04,{'BAYL'},30.18282840200004,-85.73082311199994
9,Port of Fernandina,CSX via FCRD,FCRD,451779.0,FCRD,,0.14,,Y,451779,0.14,{'FCRD'},30.678573033000077,-81.46298678399995
10,Ocean Terminal,"CSX, NS","CSXT, NS",453580.0,"CSXT,NS",,1.1,,,453649,0.03,{'NS'},32.09798789400003,-81.11758300199995
11,Appalachian Regional Port (ARP),CSX,CSXT,430584.0,CSXT,,0.23,,Y,430584,0.23,{'CSXT'},34.90027523200007,-84.74682461999998
12,Charlotte Inland Port (CIP),CSX via Queen City Express,CSXT,454672.0,CSXT,,0.18,,Y,454672,0.18,{'CSXT'},35.27391320100003,-80.91053478199996
13,Portsmouth Empty Container Yard (PPCY),"CSX, NS via NPBL",CSXT,480043.0,CSXT,,0.07,,Y,480043,0.07,{'CSXT'},36.85158130000008,-76.31652279999997
14,Richmond Marine Termianl (RMT),"CSX, NS","CSXT, NS",474384.0,"CSXT,NS",,4.54,,,474497,0.02,{'CSXT'},37.52507957300003,-77.43329825299998
15,"GCT Bayonne Terminal, NJ","CSX, NS","NS,CSXT,CSAO,GLCT",489559.0,"NS,CSXT,CSAO,GLCT",,0.03,,Y,489559,0.03,"{'NS', 'CSXT', 'CSAO', 'GLCT'}",40.67107736100007,-74.07008472499996
16,Red Hook Container Terminal,"CSX, NS","NS,NYNJ,CSXT,NYA",489967.0,"NS,NYNJ,CSXT,NYA",,1.55,,,490038,0.71,{'MTA'},40.66236966200006,-74.00325297799998
17,Balzano Marine Terminal,"Conrail, CSX, NS","NS,CSAO,CSXT",484826.0,"NS,CSAO,CSXT",,0.08,,Y,484826,0.08,"{'NS', 'CSAO', 'CSXT'}",39.93852483300003,-75.12815361899999
18,Marine Terminal,NS,NS,482874.0,NS,,0.15,,Y,482874,0.15,{'NS'},39.71378623100003,-75.53078107199997
19,"North Charleston Terminal, SC","CSX, NS via Palmetto Railways",PR,461679.0,PR,NORTH CHARLESTON PRT,0.07,,Y,461679,0.07,{'PR'},32.904789350000044,-79.96422187599995
20,Wando Welch Terminal,"CSX, NS","CSXT, NS",462055.0,"NS,CSXT",,3.86,,,462165,3.15,{'CSXT'},32.80671885400005,-79.94151205499998
21,Hugh K. Leatherman Terminal,"CSX, NS","CSXT, NS",461829.0,"CSXT,NS",,0.91,,,461812,0.7,{'CSXT'},32.82990414400007,-79.95279375299998
22,Inland Port Greer,NS,NS,446358.0,NS,GREER INLAND PORT,0.17,,Y,446358,0.17,{'NS'},34.93472236800005,-82.19628563199996
23,Inland Port Dillon,CSX,CSXT,466156.0,"CSXT,AMTK",,1.73,,Y,466156,1.73,"{'CSXT', 'AMTK'}",34.40766983100008,-79.37949521599995
24,Blount Island Marine Terminal,CSX,CSXT,451120.0,CSXT,,0.41,,Y,451120,0.41,{'CSXT'},30.40024795200003,-81.54411080999995
25,Dames Point Marine Terminal,CSX,CSXT,450961.0,CSXT,,0.78,,Y,450961,0.78,{'CSXT'},30.394638902000054,-81.55909240699998
26,Talleyrand Marine Terminal,"CSX, NS via FEC, JXPT",JXP,450442.0,JXP,,0.02,,Y,450442,0.02,{'JXP'},30.349891069000023,-81.62444149399994
27,Talleyrand Intermodal Container Transfer Facility (ICTF),"CSX, NS via JXPT",JXP,450419.0,JXP,,0.02,,Y,450419,0.02,{'JXP'},30.354681093000067,-81.62650386799999
28,Hooker's Point Container Terminal,CSX,CSXT,445130.0,CSXT,,0.11,,Y,445130,0.11,{'CSXT'},27.915613964000045,-82.43024904999999
29,Bayport Container Terminal,UP,"PTRA,UP",372011.0,"PTRA,UP",,1.98,,Y,372011,1.98,"{'PTRA', 'UP'}",29.594020000000057,-95.03113999999994
30,Jacintoport Terminal,"BNSF, UP via PTRA","CGIV,PTRA",371361.0,"CGIV,PTRA",,0.08,,Y,371361,0.08,"{'CGIV', 'PTRA'}",29.74733359800007,-95.11671684599997
31,Deep Water Port (West Pier Terminal),CPKC,CPKC,403446.0,CPKC,,0.07,,Y,403446,0.07,{'CPKC'},30.35990262200005,-89.09545465399998
32,Palm Beach Terminal,"CSX, NS via FEC",FEC,460733.0,FEC,PORT OF PALM BEACH,0.11,,Y,460733,0.11,{'FEC'},26.768622916000027,-80.06073634599994
33,Velasco Container Terminal,UP,UP,369470.0,UP,,0.1,,Y,369470,0.1,{'UP'},28.943394298000044,-95.34665089399994
34,Matson Terminal,"BNSF, UP via OTR",OTR,308312.0,"OTR,UP",WEST OAKLAND,0.32,,,308228,0.06,{'UP'},37.80062073100004,-122.29183230299998
35,Charles P. Howard Terminal,"BNSF, UP via OTR",OTR,308396.0,OTR,,0.21,,,308457,0.15,"{'BNSF', 'UP', 'AMTK'}",37.80007262000004,-122.28749213499998
36,TraPac Terminal,"BNSF, UP via OTR",OTR,308317.0,"OTR,UP",WEST OAKLAND,1.37,,,308003,0.15,{'UP'},37.80237586700008,-122.29164588399999
